Case Number Tax,Sale Date,Add Date,Status,Final Judgment,Opening Bid,Assessed Value,Folio
2020A01476,05/13/2021,03/01/2021,Accepting Proxy,0,4156.03,38250.0,3069350000074
2020A00900,05/13/2021,03/01/2021,Accepting Proxy,0,7736.86,74304.0,3022320930070
2020A01480,05/13/2021,03/01/2021,Accepting Proxy,0,3677.7,24250.0,131140352280
2020A01481,05/13/2021,03/01/2021,Accepting Proxy,0,10695.03,86103.0,131230140010
2020A00929,05/13/2021,03/01/2021,Accepting Proxy,0,10254.41,101680.0,3069120230620
2020A01482,05/13/2021,03/01/2021,Canceled,0,4082.55,44792.0,131230380150
2020A00933,05/13/2021,03/01/2021,Accepting Proxy,0,53044.55,204163.0,3411330053010
2020A01521,05/13/2021,03/02/2021,Canceled,0,6433.83,86400.0,3021360320290
2020A01298,05/13/2021,03/02/2021,Accepting Proxy,0,37143.5,68654.0,3050070540350
2020A01440,05/13/2021,03/02/2021,Accepting Proxy,0,2490.86,16704.0,3031150420371
2020A01522,05/13/2021,03/02/2021,Accepting Proxy,0,8899.93,59048.0,3031220250150
2020A01301,05/13/2021,03/02/2021,Accepting Proxy,0,40787.14,290326.0,3660040071870
2020A01302,05/13/2021,03/02/2021,Accepting Proxy,0,18224.6,212250.0,940250200100
2020A01443,05/13/2021,03/02/2021,Accepting Proxy,0,15071.77,170013.0,421320120810
2020A01484,05/13/2021,03/02/2021,Accepting Proxy,0,18560.32,214500.0,242032050050
2020A01523,05/13/2021,03/02/2021,Accepting Proxy,0,16288.14,157300.0,131140410420
2020A01444,05/13/2021,03/02/2021,Accepting Proxy,0,23544.81,263300.0,1222260080080
2020A01485,05/13/2021,03/02/2021,Accepting Proxy,0,25338.37,278482.0,341170470610
2020A01303,05/13/2021,03/02/2021,Accepting Proxy,0,4429.01,27370.0,622290780220
2020A01445,05/13/2021,03/02/2021,Accepting Proxy,0,3275.6,23190.0,3069120040440
2020A01524,05/13/2021,03/02/2021,Accepting Proxy,0,17662.0,203981.0,430120190281
2020A01486,05/13/2021,03/02/2021,Accepting Proxy,0,16933.8,201162.0,350240120100
2020A01526,05/13/2021,03/02/2021,Accepting Proxy,0,4592.82,40887.0,232260080470
2020A01487,05/13/2021,03/02/2021,Accepting Proxy,0,59740.88,103986.0,430020470011
2020A01529,05/13/2021,03/02/2021,Canceled,0,4229.42,55984.0,3021360320300
2020A01530,05/13/2021,03/02/2021,Accepting Proxy,0,4730.5,106290.0,3031150056730
2020A01392,05/13/2021,03/02/2021,Accepting Proxy,0,14479.83,167706.0,3059140700030
2020A01441,05/13/2021,03/03/2021,Accepting Proxy,0,1910.93,9293.0,3031210261670
2020A01446,05/13/2021,03/03/2021,Accepting Proxy,0,2744.86,18398.0,3031210370750
2020A01488,05/13/2021,03/03/2021,Accepting Proxy,0,69096.07,124141.0,621250260260
2020A01489,05/13/2021,03/03/2021,Accepting Proxy,0,5087.77,62889.0,721120090070
2020A01447,05/13/2021,03/03/2021,Accepting Proxy,0,9119.49,24951.0,3031150056510
2020A01448,05/13/2021,03/03/2021,Accepting Proxy,0,1620.85,9293.0,3031210261340
2020A01449,05/13/2021,03/03/2021,Accepting Proxy,0,1523.33,9293.0,3031210261360
