Case Number Eviction,Folio,Filing Date
2021-009085-CC-05,3530270010127,2021-03-30
2021-009086-CC-05,3530270010127,2021-03-30
2021-009087-CC-05,131350051420,2021-03-30
2021-009088-CC-05,131350051420,2021-03-30
2021-009089-CC-05,141020066590,2021-03-30
2021-009090-CC-05,141370613940,2021-03-30
2021-009091-CC-05,141381403970,2021-03-30
2021-009219-CC-05,3530270010127,2021-03-30
2021-010709-CC-25,3040350473400,2021-03-30
2021-010785-CC-25,3040350000810,2021-03-30
2021-002125-CC-24,232340021530,2021-03-31
2021-002161-CC-24,242030095050,2021-03-31
2021-003172-CC-21,3220220060060,2021-03-31
2021-003174-CC-21,3220240150230,2021-03-31
2021-003182-CC-21,3530170330010,2021-03-31
2021-003798-CC-20,131240210070,2021-03-31
2021-003809-CC-20,3031100020020,2021-03-31
2021-006912-CC-26,3059260170140,2021-03-31
2021-006934-CC-26,3059260170140,2021-03-31
2021-008451-CC-23,3021350000139,2021-03-31
2021-008452-CC-23,3021350000139,2021-03-31
2021-008469-CC-23,3021350000139,2021-03-31
2021-008500-CC-23,3122110400010,2021-03-31
2021-008501-CC-23,622210340011,2021-03-31
2021-008506-CC-23,622210230010,2021-03-31
2021-008534-CC-23,622290950070,2021-03-31
2021-008550-CC-23,722210030920,2021-03-31
2021-008642-CC-23,3020110762970,2021-03-31
2021-009162-CC-05,2540060010980,2021-03-31
2021-009191-CC-05,141370360010,2021-03-31
2021-009201-CC-05,131360051270,2021-03-31
2021-009220-CC-05,3030260130100,2021-03-31
2021-009221-CC-05,132190550570,2021-03-31
2021-009222-CC-05,141370760010,2021-03-31
2021-009223-CC-05,141030060070,2021-03-31
2021-009224-CC-05,132310530010,2021-03-31
2021-009225-CC-05,141020058170,2021-03-31
2021-009226-CC-05,101100001010,2021-03-31
2021-011068-CC-25,3040280000150,2021-03-31
2021-002166-CC-24,232270040240,2021-04-01
2021-003209-CC-21,3530170460010,2021-04-01
2021-003218-CC-21,430110020890,2021-04-01
2021-003219-CC-21,3530170460010,2021-04-01
