Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT01413900508402021A00025,05/20/2021,03/24/2021,2021A00025,Accepting Proxy,0,305984.52,469502,,,HIDDEN,160 SW 25 RD,MIAMI,33129-2046,01-4139-005-0840,0141390050840
TAXACT04301200305012020A01255,05/20/2021,03/24/2021,2020A01255,Accepting Proxy,0,14531.03,233405,,,HIDDEN,633 W 30 ST,HIALEAH,33012-5330,04-3012-003-0501,0430120030501
TAXACT01413911618002021A00072,05/20/2021,03/24/2021,2021A00072,Accepting Proxy,0,19405.71,234336,,,HIDDEN,60 SW 13 ST,MIAMI,33130-4312,01-4139-116-1800,0141391161800
TAXACT33503400100902021A00027,05/20/2021,03/24/2021,2021A00027,Accepting Proxy,0,28077.07,352319,,,HIDDEN,17305 SW 84 CT,PALMETTO BAY,33157-4669,33-5034-001-0090,3350340010090
TAXACT01313403503302021A00028,05/20/2021,03/24/2021,2021A00028,Accepting Proxy,0,49614.91,504179,,,HIDDEN,801 NW 27 AVE,MIAMI,33125-3014,01-3134-035-0330,0131340350330
TAXACT01311306511802021A00078,05/20/2021,03/24/2021,2021A00078,Accepting Proxy,0,7077.62,80900,,,HIDDEN,VACANT LOT,MIAMI,33137-2545,01-3113-065-1180,0131130651180
TAXACT01312301400112021A00079,05/20/2021,03/24/2021,2021A00079,Accepting Proxy,0,3269.65,20820,,,HIDDEN,VACANT LOT,MIAMI,33142-4105,01-3123-014-0011,0131230140011
TAXACT30311600001302021A00029,05/20/2021,03/24/2021,2021A00029,Accepting Proxy,0,15062.94,179080,,,HIDDEN,3158 NW 71 ST,MIAMI,33147-5938,30-3116-000-0130,3031160000130
TAXACT01323004619102020A01373,05/20/2021,03/24/2021,2020A01373,Accepting Proxy,0,19413.05,257485,,,HIDDEN,600 NE 36 ST,MIAMI,33137-3929,01-3230-046-1910,0132300461910
TAXACT31220203425702021A00033,05/20/2021,03/24/2021,2021A00033,Accepting Proxy,0,8081.11,82800,,,HIDDEN,19201 COLLINS AVE,SUNNY ISLES BEACH,33160-2202,31-2202-034-2570,3122020342570
TAXACT02321106225802021A00080,05/20/2021,03/24/2021,2021A00080,Accepting Proxy,0,20561.9,306200,,,HIDDEN,5601 COLLINS AVE,MIAMI BEACH,33140-2456,02-3211-062-2580,0232110622580
TAXACT31221404506802020A01386,05/20/2021,03/24/2021,2020A01386,Accepting Proxy,0,4173.67,37650,,,HIDDEN,400 SUNNY ISLES BLVD,SUNNY ISLES BEACH,33160,31-2214-045-0680,3122140450680
TAXACT30500900013202020A01388,05/20/2021,03/24/2021,2020A01388,Accepting Proxy,0,344033.83,594934,,,HIDDEN,8840 SW 118 ST,MIAMI,33176-4342,30-5009-000-1320,3050090001320
TAXACT02323304118402021A00081,05/20/2021,03/25/2021,2021A00081,Accepting Proxy,0,29187.62,766600,,,HIDDEN,11 ISLAND AVE,MIAMI BEACH,33139-1320,02-3233-041-1840,0232330411840
TAXACT08212100245102021A00053,05/20/2021,03/25/2021,2021A00053,Accepting Proxy,0,26811.99,146138,,,HIDDEN,1120 SESAME ST,OPA-LOCKA,33054-3474,08-2121-002-4510,0821210024510
TAXACT06222804408902021A00056,05/20/2021,03/25/2021,2021A00056,Accepting Proxy,0,12201.39,111626,,,HIDDEN,13155 IXORA CT,NORTH MIAMI,33181-2362,06-2228-044-0890,0622280440890
TAXACT31221102203402021A00034,05/20/2021,03/25/2021,2021A00034,Accepting Proxy,0,10822.27,136000,,,HIDDEN,250 180 DR,SUNNY ISLES BEACH,33160-2796,31-2211-022-0340,3122110220340
TAXACT04310604901302021A00082,05/20/2021,03/25/2021,2021A00082,Accepting Proxy,0,24026.35,286833,,,HIDDEN,70 W 43 ST,HIALEAH,33012-4442,04-3106-049-0130,0431060490130
TAXACT12222600801502021A00060,05/20/2021,03/25/2021,2021A00060,Accepting Proxy,0,3987.21,23000,,,HIDDEN,10170 COLLINS AVE,BAL HARBOUR,33154-1651,12-2226-008-0150,1222260080150
TAXACT01413815726702021A00035,05/20/2021,03/25/2021,2021A00035,Accepting Proxy,0,35117.24,416119,,,HIDDEN,45 SW 9 ST,MIAMI,33130-3020,01-4138-157-2670,0141381572670
TAXACT30311005306302021A00064,05/20/2021,03/25/2021,2021A00064,Accepting Proxy,0,67065.65,119822,,,HIDDEN,2109 NW 82 ST,MIAMI,33147-5033,30-3110-053-0630,3031100530630
TAXACT12222600801402021A00084,05/20/2021,03/25/2021,2021A00084,Accepting Proxy,0,3987.21,23000,,,HIDDEN,10170 COLLINS AVE,BAL HARBOUR,33154-1651,12-2226-008-0140,1222260080140
TAXACT01312704500502021A00039,05/20/2021,03/26/2021,2021A00039,Accepting Proxy,0,32570.38,296840,,,HIDDEN,2042 NW 17 AVE,MIAMI,33142-7418,01-3127-045-0050,0131270450050
TAXACT30501900400902020A01389,05/20/2021,03/26/2021,2020A01389,Accepting Proxy,0,8170.82,129030,,,HIDDEN,11445 ROBINSON ST,MIAMI,33176-7342,30-5019-004-0090,3050190040090
TAXACT30402309215502021A00061,05/20/2021,03/26/2021,2021A00061,Accepting Proxy,0,16143.23,201592,,,HIDDEN,6861 SW 44 ST,MIAMI,33155-4799,30-4023-092-1550,3040230921550
TAXACT30212701504402021A00087,05/20/2021,03/26/2021,2021A00087,Accepting Proxy,0,89487.29,167713,,,HIDDEN,13280 NW 24 AVE,MIAMI,33167-1328,30-2127-015-0440,3021270150440
TAXACT28123405437902020A01390,05/20/2021,03/26/2021,2020A01390,Accepting Proxy,0,8488.64,134100,,,HIDDEN,20301 W COUNTRY CLUB DR,AVENTURA,33180-1675,28-1234-054-3790,2812340543790
TAXACT30222000218012021A00088,05/20/2021,03/26/2021,2021A00088,Accepting Proxy,0,15948.14,122940,,,HIDDEN,1401 NE 147 ST,MIAMI,33161-2628,30-2220-002-1801,3022200021801
TAXACT30311005712802021A00089,05/20/2021,03/26/2021,2021A00089,Accepting Proxy,0,16672.78,26834,,,HIDDEN,2218 NW 81 ST,MIAMI,33147-4826,30-3110-057-1280,3031100571280
TAXACT30311500558502021A00065,05/20/2021,03/26/2021,2021A00065,Accepting Proxy,0,8208.27,60594,,,HIDDEN,1880 NW 69 ST,MIAMI,33147-6914,30-3115-005-5850,3031150055850
TAXACT30312200818902021A00090,05/20/2021,03/26/2021,2021A00090,Accepting Proxy,0,5140.09,37502,,,HIDDEN,VACANT LOT,MIAMI,33142-5328,30-3122-008-1890,3031220081890
TAXACT30311502103502021A00066,05/20/2021,03/26/2021,2021A00066,Accepting Proxy,0,10691.17,,,,HIDDEN,1901 NW 66 ST,MIAMI,33147-7447,30-3115-021-0350,3031150210350
TAXACT30312202900802021A00091,05/20/2021,03/26/2021,2021A00091,Accepting Proxy,0,5655.77,55212,,,HIDDEN,VACANT LOT,MIAMI,33142-4709,30-3122-029-0080,3031220290080
TAXACT30680100136802021A00094,05/20/2021,03/26/2021,2021A00094,Accepting Proxy,0,5503.53,60280,,,HIDDEN,19800 SW 180 AVE,MIAMI,33187-2619,30-6801-001-3680,3068010013680
